# G(2) Function
# 2024-12-12 17:10:36
# Histogram Width = 32 ns
# Events Ch. 0 = 6.302e+07 
# Events Ch. 1 = 8.702e+07 
# Integr. Time = 00:01:37 h
# G(2) Norm = 224.9 
# Fit Function = None
# Fit - A = 0 
# Fit - c = 0 ps
# Fit - B = 0 
# Fit - T_a = 0 ps
# Fit - p_f^2 = 0 
# Fit - c = 0 
# Fit - T_b = 0 ps
# Fit - T_a = 0 ps
# Unit dt: s
# Unit G(2): 1
# dt ; G(2)
-3.2000000E-008 ;  9.3360300E-001
-3.1995999E-008 ;  9.7806000E-001
-3.1991999E-008 ;  1.0002890E+000
-3.1987998E-008 ;  9.6027700E-001
-3.1983998E-008 ;  9.3804800E-001
-3.1979997E-008 ;  1.0047340E+000
-3.1975997E-008 ;  1.0314090E+000
-3.1971996E-008 ;  9.2026600E-001
-3.1967996E-008 ;  1.0269630E+000
-3.1963995E-008 ;  9.0248300E-001
-3.1959995E-008 ;  9.6027700E-001
-3.1955994E-008 ;  1.0047340E+000
-3.1951994E-008 ;  1.0180720E+000
-3.1947993E-008 ;  8.4468800E-001
-3.1943993E-008 ;  9.6027700E-001
-3.1939992E-008 ;  9.5138600E-001
-3.1935992E-008 ;  1.0847580E+000
-3.1931991E-008 ;  9.5583100E-001
-3.1927991E-008 ;  9.7361400E-001
-3.1923990E-008 ;  1.0625290E+000
-3.1919990E-008 ;  1.0002890E+000
-3.1915989E-008 ;  9.2471100E-001
-3.1911989E-008 ;  1.0669750E+000
-3.1907988E-008 ;  9.9139700E-001
-3.1903988E-008 ;  9.0248300E-001
-3.1899987E-008 ;  9.8695100E-001
-3.1895987E-008 ;  9.1582000E-001
-3.1891986E-008 ;  9.5583100E-001
-3.1887986E-008 ;  8.9359100E-001
-3.1883985E-008 ;  1.0491920E+000
-3.1879985E-008 ;  9.7361400E-001
-3.1875984E-008 ;  9.6916900E-001
-3.1871984E-008 ;  1.0091800E+000
-3.1867983E-008 ;  9.8695100E-001
-3.1863983E-008 ;  1.0180720E+000
-3.1859982E-008 ;  9.6472300E-001
-3.1855982E-008 ;  9.2471100E-001
-3.1851981E-008 ;  1.0358550E+000
-3.1847981E-008 ;  8.9359100E-001
-3.1843980E-008 ;  8.9359100E-001
-3.1839980E-008 ;  9.1582000E-001
-3.1835979E-008 ;  9.3360300E-001
-3.1831979E-008 ;  9.7806000E-001
-3.1827978E-008 ;  1.0758660E+000
-3.1823978E-008 ;  9.3804800E-001
-3.1819977E-008 ;  9.6916900E-001
-3.1815977E-008 ;  9.4694000E-001
-3.1811976E-008 ;  9.1582000E-001
-3.1807976E-008 ;  1.0625290E+000
-3.1803975E-008 ;  1.0491920E+000
-3.1799975E-008 ;  1.0136260E+000
-3.1795974E-008 ;  1.0269630E+000
-3.1791974E-008 ;  8.9359100E-001
-3.1787973E-008 ;  9.6027700E-001
-3.1783973E-008 ;  9.7806000E-001
-3.1779972E-008 ;  9.2915700E-001
-3.1775972E-008 ;  9.9584300E-001
-3.1771971E-008 ;  8.5802500E-001
-3.1767971E-008 ;  1.0536370E+000
-3.1763970E-008 ;  1.0269630E+000
-3.1759970E-008 ;  8.8914500E-001
-3.1755969E-008 ;  9.3804800E-001
-3.1751969E-008 ;  9.0692800E-001
-3.1747968E-008 ;  9.7361400E-001
-3.1743968E-008 ;  9.6027700E-001
-3.1739967E-008 ;  9.3360300E-001
-3.1735967E-008 ;  8.2690500E-001
-3.1731966E-008 ;  8.9359100E-001
-3.1727966E-008 ;  9.3804800E-001
-3.1723965E-008 ;  9.0248300E-001
-3.1719965E-008 ;  1.0047340E+000
-3.1715964E-008 ;  9.2915700E-001
-3.1711964E-008 ;  9.9139700E-001
-3.1707963E-008 ;  9.4249400E-001
-3.1703963E-008 ;  9.0692800E-001
-3.1699962E-008 ;  9.7361400E-001
-3.1695962E-008 ;  1.0180720E+000
-3.1691961E-008 ;  1.0091800E+000
-3.1687961E-008 ;  9.6472300E-001
-3.1683960E-008 ;  9.6472300E-001
-3.1679960E-008 ;  9.6472300E-001
-3.1675959E-008 ;  8.5802500E-001
-3.1671959E-008 ;  9.2026600E-001
-3.1667958E-008 ;  1.0047340E+000
-3.1663958E-008 ;  9.5583100E-001
-3.1659957E-008 ;  9.1582000E-001
-3.1655957E-008 ;  9.5138600E-001
-3.1651956E-008 ;  8.9803700E-001
-3.1647956E-008 ;  1.0225170E+000
-3.1643955E-008 ;  1.0447460E+000
-3.1639955E-008 ;  9.6472300E-001
-3.1635954E-008 ;  9.2915700E-001
-3.1631954E-008 ;  1.0403000E+000
-3.1627953E-008 ;  9.4249400E-001
-3.1623953E-008 ;  1.0580830E+000
-3.1619952E-008 ;  9.2026600E-001
-3.1615952E-008 ;  9.4694000E-001
-3.1611951E-008 ;  9.9584300E-001
-3.1607951E-008 ;  9.7806000E-001
-3.1603950E-008 ;  8.7136300E-001
-3.1599950E-008 ;  8.2690500E-001
-3.1595949E-008 ;  8.8470000E-001
-3.1591949E-008 ;  9.7806000E-001
-3.1587948E-008 ;  1.0047340E+000
-3.1583948E-008 ;  8.9359100E-001
-3.1579947E-008 ;  1.1069860E+000
-3.1575947E-008 ;  9.9139700E-001
-3.1571946E-008 ;  9.7806000E-001
-3.1567946E-008 ;  9.1137400E-001
-3.1563945E-008 ;  9.6916900E-001
-3.1559945E-008 ;  1.0136260E+000
-3.1555944E-008 ;  1.0447460E+000
-3.1551944E-008 ;  9.2915700E-001
-3.1547943E-008 ;  1.0180720E+000
-3.1543943E-008 ;  9.0692800E-001
-3.1539942E-008 ;  1.0536370E+000
-3.1535942E-008 ;  9.9139700E-001
-3.1531941E-008 ;  9.9584300E-001
-3.1527941E-008 ;  1.0269630E+000
-3.1523940E-008 ;  1.0758660E+000
-3.1519940E-008 ;  9.9139700E-001
-3.1515939E-008 ;  9.8250600E-001
-3.1511939E-008 ;  1.0536370E+000
-3.1507938E-008 ;  9.4694000E-001
-3.1503938E-008 ;  8.5802500E-001
-3.1499937E-008 ;  1.0447460E+000
-3.1495937E-008 ;  8.5358000E-001
-3.1491936E-008 ;  9.0248300E-001
-3.1487936E-008 ;  9.2026600E-001
-3.1483935E-008 ;  9.3360300E-001
-3.1479935E-008 ;  9.3360300E-001
-3.1475934E-008 ;  8.3135100E-001
-3.1471934E-008 ;  9.2471100E-001
-3.1467933E-008 ;  8.9359100E-001
-3.1463933E-008 ;  9.0692800E-001
-3.1459932E-008 ;  1.0136260E+000
-3.1455932E-008 ;  1.0269630E+000
-3.1451931E-008 ;  9.4249400E-001
-3.1447931E-008 ;  9.3360300E-001
-3.1443930E-008 ;  9.5138600E-001
-3.1439930E-008 ;  9.7361400E-001
-3.1435929E-008 ;  9.2026600E-001
-3.1431929E-008 ;  1.0447460E+000
-3.1427928E-008 ;  1.0269630E+000
-3.1423928E-008 ;  9.6472300E-001
-3.1419927E-008 ;  9.6472300E-001
-3.1415927E-008 ;  9.3360300E-001
-3.1411926E-008 ;  9.0248300E-001
-3.1407926E-008 ;  9.6472300E-001
-3.1403925E-008 ;  1.0002890E+000
-3.1399925E-008 ;  9.6027700E-001
-3.1395924E-008 ;  9.9584300E-001
-3.1391924E-008 ;  9.3360300E-001
-3.1387923E-008 ;  9.9139700E-001
-3.1383923E-008 ;  1.0847580E+000
-3.1379922E-008 ;  9.1582000E-001
-3.1375922E-008 ;  8.6691700E-001
-3.1371921E-008 ;  9.3804800E-001
-3.1367921E-008 ;  9.8250600E-001
-3.1363920E-008 ;  9.4694000E-001
-3.1359920E-008 ;  8.4024200E-001
-3.1355919E-008 ;  8.9359100E-001
-3.1351919E-008 ;  9.8695100E-001
-3.1347918E-008 ;  9.1137400E-001
-3.1343918E-008 ;  1.0136260E+000
-3.1339917E-008 ;  8.7580800E-001
-3.1335917E-008 ;  1.0403000E+000
-3.1331916E-008 ;  9.0248300E-001
-3.1327916E-008 ;  9.8250600E-001
-3.1323915E-008 ;  9.6027700E-001
-3.1319915E-008 ;  9.6027700E-001
-3.1315914E-008 ;  1.0180720E+000
-3.1311914E-008 ;  9.5138600E-001
-3.1307913E-008 ;  9.8695100E-001
-3.1303913E-008 ;  1.0047340E+000
-3.1299912E-008 ;  9.0692800E-001
-3.1295912E-008 ;  1.0491920E+000
-3.1291911E-008 ;  9.8695100E-001
-3.1287911E-008 ;  9.7361400E-001
-3.1283910E-008 ;  9.6472300E-001
-3.1279910E-008 ;  9.7806000E-001
-3.1275909E-008 ;  1.0314090E+000
-3.1271909E-008 ;  1.0136260E+000
-3.1267908E-008 ;  1.0358550E+000
-3.1263908E-008 ;  9.5138600E-001
-3.1259907E-008 ;  1.0714200E+000
-3.1255907E-008 ;  1.0091800E+000
-3.1251906E-008 ;  9.3804800E-001
-3.1247906E-008 ;  8.8025400E-001
-3.1243905E-008 ;  1.0136260E+000
-3.1239905E-008 ;  1.0758660E+000
-3.1235904E-008 ;  1.0269630E+000
-3.1231904E-008 ;  9.4249400E-001
-3.1227903E-008 ;  9.3804800E-001
-3.1223903E-008 ;  8.9803700E-001
-3.1219902E-008 ;  9.3804800E-001
-3.1215902E-008 ;  9.6916900E-001
-3.1211901E-008 ;  8.6247100E-001
-3.1207901E-008 ;  9.2471100E-001
-3.1203900E-008 ;  8.8470000E-001
-3.1199900E-008 ;  8.5358000E-001
-3.1195899E-008 ;  9.3360300E-001
-3.1191899E-008 ;  1.0047340E+000
-3.1187898E-008 ;  9.8695100E-001
-3.1183898E-008 ;  9.8695100E-001
-3.1179897E-008 ;  9.9584300E-001
-3.1175897E-008 ;  9.4249400E-001
-3.1171896E-008 ;  1.0091800E+000
-3.1167896E-008 ;  8.9803700E-001
-3.1163895E-008 ;  9.8695100E-001
-3.1159895E-008 ;  9.2026600E-001
-3.1155894E-008 ;  1.0225170E+000
-3.1151894E-008 ;  9.5583100E-001
-3.1147893E-008 ;  9.3804800E-001
-3.1143893E-008 ;  1.0403000E+000
-3.1139892E-008 ;  8.8470000E-001
-3.1135892E-008 ;  8.4468800E-001
-3.1131891E-008 ;  9.3804800E-001
-3.1127891E-008 ;  9.5583100E-001
-3.1123890E-008 ;  1.0491920E+000
-3.1119890E-008 ;  1.0536370E+000
-3.1115889E-008 ;  1.0536370E+000
-3.1111889E-008 ;  1.0314090E+000
-3.1107888E-008 ;  1.0047340E+000
-3.1103888E-008 ;  1.0225170E+000
-3.1099887E-008 ;  8.8025400E-001
-3.1095887E-008 ;  1.0892030E+000
-3.1091886E-008 ;  9.7361400E-001
-3.1087886E-008 ;  9.4694000E-001
-3.1083885E-008 ;  9.6472300E-001
-3.1079885E-008 ;  1.1158780E+000
-3.1075884E-008 ;  9.8695100E-001
-3.1071884E-008 ;  9.2471100E-001
-3.1067883E-008 ;  9.6027700E-001
-3.1063883E-008 ;  9.2915700E-001
-3.1059882E-008 ;  1.0180720E+000
-3.1055882E-008 ;  8.7580800E-001
-3.1051881E-008 ;  9.7806000E-001
-3.1047881E-008 ;  9.8250600E-001
-3.1043880E-008 ;  9.0248300E-001
-3.1039880E-008 ;  8.9359100E-001
-3.1035879E-008 ;  1.1203230E+000
-3.1031879E-008 ;  9.1137400E-001
-3.1027878E-008 ;  1.0625290E+000
-3.1023878E-008 ;  9.7806000E-001
-3.1019877E-008 ;  1.1025400E+000
-3.1015877E-008 ;  9.9584300E-001
-3.1011876E-008 ;  9.1137400E-001
-3.1007876E-008 ;  1.0314090E+000
-3.1003875E-008 ;  1.0403000E+000
-3.0999875E-008 ;  1.0002890E+000
-3.0995874E-008 ;  8.8914500E-001
-3.0991874E-008 ;  1.0314090E+000
-3.0987873E-008 ;  9.6027700E-001
-3.0983873E-008 ;  1.0002890E+000
-3.0979872E-008 ;  9.1582000E-001
-3.0975872E-008 ;  9.0692800E-001
-3.0971871E-008 ;  8.7136300E-001
-3.0967871E-008 ;  8.9803700E-001
-3.0963870E-008 ;  1.0536370E+000
-3.0959870E-008 ;  9.3360300E-001
-3.0955869E-008 ;  1.0180720E+000
-3.0951869E-008 ;  8.1801400E-001
-3.0947868E-008 ;  1.0091800E+000
-3.0943868E-008 ;  1.0136260E+000
-3.0939867E-008 ;  9.5138600E-001
-3.0935867E-008 ;  9.7361400E-001
-3.0931866E-008 ;  8.7136300E-001
-3.0927866E-008 ;  1.0403000E+000
-3.0923865E-008 ;  9.2915700E-001
-3.0919865E-008 ;  1.0136260E+000
-3.0915864E-008 ;  1.0936490E+000
-3.0911864E-008 ;  1.0669750E+000
-3.0907863E-008 ;  8.7580800E-001
-3.0903863E-008 ;  9.8250600E-001
-3.0899862E-008 ;  9.4694000E-001
-3.0895862E-008 ;  9.1582000E-001
-3.0891861E-008 ;  9.4694000E-001
-3.0887861E-008 ;  1.0225170E+000
-3.0883860E-008 ;  8.6247100E-001
-3.0879860E-008 ;  1.0491920E+000
-3.0875859E-008 ;  9.2915700E-001
-3.0871859E-008 ;  1.0225170E+000
-3.0867858E-008 ;  1.0358550E+000
-3.0863858E-008 ;  9.2915700E-001
-3.0859857E-008 ;  9.9584300E-001
-3.0855857E-008 ;  9.3804800E-001
-3.0851856E-008 ;  9.2471100E-001
-3.0847856E-008 ;  9.5583100E-001
-3.0843855E-008 ;  9.3360300E-001
-3.0839855E-008 ;  9.2915700E-001
-3.0835854E-008 ;  1.0047340E+000
-3.0831854E-008 ;  9.4249400E-001
-3.0827853E-008 ;  1.0002890E+000
-3.0823853E-008 ;  9.9139700E-001
-3.0819852E-008 ;  8.4024200E-001
-3.0815852E-008 ;  8.7136300E-001
-3.0811851E-008 ;  8.8914500E-001
-3.0807851E-008 ;  9.6472300E-001
-3.0803850E-008 ;  9.3804800E-001
-3.0799850E-008 ;  1.0091800E+000
-3.0795849E-008 ;  9.3360300E-001
-3.0791849E-008 ;  8.4913400E-001
-3.0787848E-008 ;  9.5583100E-001
-3.0783848E-008 ;  9.2026600E-001
-3.0779847E-008 ;  9.2026600E-001
-3.0775847E-008 ;  9.0692800E-001
-3.0771846E-008 ;  9.5138600E-001
-3.0767846E-008 ;  9.5138600E-001
-3.0763845E-008 ;  8.4468800E-001
-3.0759845E-008 ;  1.0314090E+000
-3.0755844E-008 ;  1.0314090E+000
-3.0751844E-008 ;  9.2026600E-001
-3.0747843E-008 ;  8.7580800E-001
-3.0743843E-008 ;  8.4468800E-001
-3.0739842E-008 ;  9.6472300E-001
-3.0735842E-008 ;  9.2915700E-001
-3.0731841E-008 ;  9.0692800E-001
-3.0727841E-008 ;  1.0358550E+000
-3.0723840E-008 ;  9.7361400E-001
-3.0719840E-008 ;  1.0491920E+000
-3.0715839E-008 ;  8.6247100E-001
-3.0711839E-008 ;  9.0692800E-001
-3.0707838E-008 ;  1.0580830E+000
-3.0703838E-008 ;  1.0403000E+000
-3.0699837E-008 ;  9.2026600E-001
-3.0695837E-008 ;  8.7580800E-001
-3.0691836E-008 ;  9.4694000E-001
-3.0687836E-008 ;  9.6916900E-001
-3.0683835E-008 ;  8.5802500E-001
-3.0679835E-008 ;  9.7806000E-001
-3.0675834E-008 ;  9.1137400E-001
-3.0671834E-008 ;  1.0091800E+000
-3.0667833E-008 ;  9.5138600E-001
-3.0663833E-008 ;  8.9803700E-001
-3.0659832E-008 ;  9.0248300E-001
-3.0655832E-008 ;  9.7806000E-001
-3.0651831E-008 ;  9.4249400E-001
-3.0647831E-008 ;  9.3360300E-001
-3.0643830E-008 ;  1.0580830E+000
-3.0639830E-008 ;  8.5802500E-001
-3.0635829E-008 ;  9.0248300E-001
-3.0631829E-008 ;  8.8025400E-001
-3.0627828E-008 ;  9.5138600E-001
-3.0623828E-008 ;  1.0491920E+000
-3.0619827E-008 ;  9.6027700E-001
-3.0615827E-008 ;  9.1582000E-001
-3.0611826E-008 ;  9.2026600E-001
-3.0607826E-008 ;  8.8470000E-001
-3.0603825E-008 ;  9.9139700E-001
-3.0599825E-008 ;  9.0248300E-001
-3.0595824E-008 ;  9.0248300E-001
-3.0591824E-008 ;  9.6027700E-001
-3.0587823E-008 ;  9.5138600E-001
-3.0583823E-008 ;  1.0180720E+000
-3.0579822E-008 ;  9.4249400E-001
-3.0575822E-008 ;  9.6916900E-001
-3.0571821E-008 ;  8.9803700E-001
-3.0567821E-008 ;  9.9584300E-001
-3.0563820E-008 ;  1.0358550E+000
-3.0559820E-008 ;  9.8695100E-001
-3.0555819E-008 ;  9.3804800E-001
-3.0551819E-008 ;  1.2181290E+000
-3.0547818E-008 ;  9.0248300E-001
-3.0543818E-008 ;  1.0136260E+000
-3.0539817E-008 ;  8.4468800E-001
-3.0535817E-008 ;  9.0692800E-001
-3.0531816E-008 ;  9.8250600E-001
-3.0527816E-008 ;  8.2690500E-001
-3.0523815E-008 ;  9.9584300E-001
-3.0519815E-008 ;  1.0447460E+000
-3.0515814E-008 ;  9.5583100E-001
-3.0511814E-008 ;  9.9139700E-001
-3.0507813E-008 ;  1.0314090E+000
-3.0503813E-008 ;  1.0403000E+000
-3.0499812E-008 ;  9.5583100E-001
-3.0495812E-008 ;  9.8695100E-001
-3.0491811E-008 ;  1.0491920E+000
-3.0487811E-008 ;  9.6916900E-001
-3.0483810E-008 ;  9.2471100E-001
-3.0479810E-008 ;  9.6027700E-001
-3.0475809E-008 ;  9.5138600E-001
-3.0471809E-008 ;  9.5138600E-001
-3.0467808E-008 ;  1.0047340E+000
-3.0463808E-008 ;  9.6472300E-001
-3.0459807E-008 ;  1.0358550E+000
-3.0455807E-008 ;  9.3360300E-001
-3.0451806E-008 ;  1.0358550E+000
-3.0447806E-008 ;  8.7136300E-001
-3.0443805E-008 ;  9.8695100E-001
-3.0439805E-008 ;  9.8250600E-001
-3.0435804E-008 ;  9.5583100E-001
-3.0431804E-008 ;  8.9359100E-001
-3.0427803E-008 ;  9.2915700E-001
-3.0423803E-008 ;  9.8250600E-001
-3.0419802E-008 ;  1.0358550E+000
